idx,FLOPS,Correlation,Num_of_Operations
364,3258898336773.097,121738,134217728
365,4332818801045.9375,121771,134217728
366,4245112692538.824,121794,134217728
367,4364520291363.1636,121910,134217728
368,2998005941611.383,122803,134217728
369,3741573595004.4604,122836,134217728
370,3979415559772.296,122859,134217728
371,4032863435593.8823,122975,134217728
372,3004448503570.389,123184,134217728
373,3862158379373.8486,123217,134217728
374,4120141453831.041,123240,134217728
375,4005901447545.142,123356,134217728
376,3008758949987.671,123621,134217728
377,3768361400454.8394,123654,134217728
378,4088015594541.91,123677,134217728
379,4103890169698.8228,123793,134217728
380,3187085413055.351,123926,134217728
381,4275539245667.686,123959,134217728
382,4355455867082.0356,123982,134217728
383,4262368700181.015,124098,134217728
384,2959923431469.8423,124991,134217728
385,3744809798833.7383,125024,134217728
386,4136394477317.5547,125047,134217728
387,4060313649564.376,125163,134217728
388,3037149891383.0557,125372,134217728
389,3844458295142.0713,125405,134217728
390,4140350063238.424,125428,134217728
391,4068190106692.5317,125544,134217728
392,3030498046919.0996,125809,134217728
393,3744914285714.2856,125842,134217728
394,4181758723828.5146,125865,134217728
395,4048433867221.6694,125981,134217728
396,3258898336773.097,126114,134217728
397,4177463599863.0522,126147,134217728
398,4442971564765.468,126170,134217728
399,4271049419252.188,126286,134217728
400,2951591669782.069,127179,134217728
401,3751613595706.6187,127212,134217728
402,4064248062015.504,127235,134217728
403,4032863435593.8823,127351,134217728
404,2978842976673.9907,127560,134217728
405,3826919708029.1963,127593,134217728
406,4181628438794.903,127616,134217728
407,4190113886113.8867,127732,134217728
408,3013081782467.168,127997,134217728
409,3854948100066.0596,128030,134217728
410,4181758723828.5146,128053,134217728
411,4048433867221.6694,128169,134217728
412,3226310136775.5586,128302,134217728
413,4211016471621.749,128335,134217728
414,4332818801045.9375,128358,134217728
415,4355455867082.0356,128474,134217728
416,2991590950629.6665,129367,134217728
417,3647220869565.2173,129400,134217728
418,4064248062015.504,129423,134217728
419,4095999999999.9995,129539,134217728
420,3026125132460.0366,129748,134217728
421,3758231680340.492,129781,134217728
422,4144441191909.8354,129804,134217728
423,4104015655577.299,129920,134217728
424,3008758949987.671,130185,134217728
425,3781952943165.4883,130218,134217728
426,4056264257003.838,130241,134217728
427,4198371172072.946,130357,134217728
428,3258977466977.4673,130490,134217728
429,4173307048910.171,130523,134217728
430,4262368700181.015,130546,134217728
431,4258176649746.1934,130662,134217728
432,2972575478384.1245,131555,134217728
433,3799188405797.101,131588,134217728
434,4005901447545.142,131611,134217728
435,4116098135426.8896,131727,134217728
436,3010918814635.35,131936,134217728
437,3876436229205.176,131969,134217728
438,4005901447545.142,131992,134217728
439,4198371172072.946,132108,134217728
440,2935132260321.9033,132373,134217728
441,3809540417801.9985,132406,134217728
442,4032984615384.615,132429,134217728
443,4120141453831.041,132545,134217728
444,3199240292708.507,132678,134217728
445,4152647752235.389,132711,134217728
446,4236670707070.707,132734,134217728
447,4387347280334.728,132850,134217728
448,2943371228070.1753,133743,134217728
449,3813003636363.636,133776,134217728
450,3949438794726.9307,133799,134217728
451,4044529998493.295,133915,134217728
452,2974617761131.18,134124,134217728
453,3862158379373.8486,134157,134217728
454,4108035259549.462,134180,134217728
455,4140350063238.424,134296,134217728
456,2978909090909.0913,134561,134217728
457,3840827815138.074,134594,134217728
458,4169288270377.734,134617,134217728
459,4095999999999.9995,134733,134217728
460,3141800749063.6704,134866,134217728
461,4232262100715.795,134899,134217728
462,4401014132537.627,134922,134217728
463,4249413582396.707,135038,134217728
464,2957901269393.5117,135931,134217728
465,3785366161829.822,135964,134217728
466,4128124996155.3843,135987,134217728
467,3956773915863.329,136103,134217728
468,2987396011396.0117,136312,134217728
469,3826810595044.621,136345,134217728
470,4009731066829.983,136368,134217728
471,3941899262827.102,136484,134217728
472,2972509644984.8296,136749,134217728
473,3771750119432.345,136782,134217728
474,4144441191909.8354,136805,134217728
475,3956890566037.736,136921,134217728
476,3170222925573.375,137054,134217728
477,4232395560040.364,137087,134217728
478,4350937759336.0996,137110,134217728
479,4206792916470.7725,137226,134217728
480,3017417054472.696,138119,134217728
481,3715061116031.8867,138152,134217728
482,4060313649564.376,138175,134217728
483,3994575238095.238,138291,134217728
484,3052553571834.7017,138500,134217728
485,3813003636363.636,138533,134217728
486,4236536977999.431,138556,134217728
487,4072016261642.5474,138672,134217728
488,3191936264833.885,138937,134217728
489,3945607431578.328,138970,134217728
490,4136267003605.658,138993,134217728
491,4206792916470.7725,139109,134217728
492,3201682402614.4414,139242,134217728
493,4198371172072.946,139275,134217728
494,4364378369589.9585,139298,134217728
495,4319571575695.16,139414,134217728
496,2928919323513.3657,140307,134217728
497,3711773451327.4336,140340,134217728
498,4002198473282.443,140363,134217728
499,3075002932551.3193,140479,134217728
500,3048186046511.6284,140688,134217728
501,3809540417801.9985,140721,134217728
502,4009850860420.65,140744,134217728
503,4002079136476.131,140860,134217728
504,3034883617863.199,141125,134217728
505,3894432683379.7583,141158,134217728
506,4044529998493.295,141181,134217728
507,4080062256809.339,141297,134217728
508,3292151585763.6934,141430,134217728
509,4124066000921.8003,141463,134217728
510,4378187891440.501,141486,134217728
511,4419709167544.784,141602,134217728
512,2983080212477.4966,143520,134217728
